date,pm2_5_max,pm10_max,o3_max,temp_max,temp_min,precipitation,wind_speed,temp_range,day_of_year,month
2024-05-26,48.9,82.7,56.5,29.8,19.5,0.1,12.4,10.3,147,5
2024-05-27,45.7,78.0,53.4,28.5,18.7,0.0,13.1,9.8,148,5
2024-05-28,51.1,85.1,58.2,30.4,20.2,0.0,11.6,10.2,149,5
2024-05-29,46.4,79.1,54.0,29.0,18.9,0.5,12.9,10.100000000000001,150,5
2024-05-30,43.2,74.5,51.2,27.9,18.1,0.0,13.7,9.799999999999997,151,5
2024-05-31,52.9,88.6,59.3,31.1,20.9,0.0,10.7,10.200000000000003,152,5
2024-06-01,49.1,83.2,57.1,29.9,19.6,0.2,12.2,10.299999999999997,153,6
2024-06-02,44.4,76.1,52.5,28.1,18.2,0.0,13.9,9.900000000000002,154,6
2024-06-03,53.6,89.8,60.2,31.4,21.2,0.0,10.3,10.2,155,6
2024-06-04,47.8,81.4,55.4,29.6,19.4,0.6,12.6,10.200000000000003,156,6
2024-06-05,42.3,73.8,50.6,27.4,17.5,1.1,14.4,9.899999999999999,157,6
2024-06-06,55.2,90.7,61.1,31.3,21.1,0.0,10.0,10.2,158,6
2024-06-07,50.4,85.3,58.9,30.7,20.4,0.0,11.3,10.3,159,6
2024-06-08,45.1,77.6,53.2,28.6,18.5,0.0,13.4,10.100000000000001,160,6
2024-06-09,51.9,87.1,59.2,30.8,20.6,0.0,11.5,10.2,161,6
2024-06-10,46.2,79.8,54.1,29.1,18.8,0.4,12.8,10.3,162,6
2024-06-11,41.6,71.9,49.2,27.2,17.3,2.0,14.1,9.899999999999999,163,6
2024-06-12,54.8,91.5,61.5,31.5,21.3,0.0,10.0,10.2,164,6
2024-06-13,49.6,84.1,57.6,30.1,19.8,0.1,12.1,10.3,165,6
2024-06-14,44.8,77.2,53.6,28.7,18.7,0.0,13.3,10.0,166,6
2024-06-15,52.2,88.2,59.4,31.0,20.7,0.0,10.8,10.3,167,6
2024-06-16,48.2,81.7,56.0,29.7,19.5,0.3,12.4,10.2,168,6
2024-06-17,43.5,75.0,51.8,28.2,18.3,0.0,13.5,9.899999999999999,169,6
2024-06-18,51.5,86.3,58.5,30.6,20.4,0.0,11.7,10.200000000000003,170,6
2024-06-19,46.9,80.5,54.8,29.4,19.2,0.7,12.5,10.2,171,6
2024-06-20,41.2,72.4,49.0,27.1,17.2,1.6,14.6,9.900000000000002,172,6
2024-06-21,55.0,90.1,60.9,31.2,21.0,0.0,10.1,10.2,173,6
2024-06-22,50.2,84.9,58.4,30.5,20.2,0.0,11.5,10.3,174,6
2024-06-23,45.6,78.4,53.9,28.9,18.8,0.0,13.2,10.099999999999998,175,6
2024-06-24,52.6,88.9,59.8,31.2,20.9,0.0,10.9,10.3,176,6
2024-06-25,48.7,83.5,56.7,30.0,19.7,0.2,12.3,10.3,177,6
2024-06-26,43.8,76.6,52.3,28.4,18.5,0.0,13.4,9.899999999999999,178,6
2024-06-27,51.3,86.8,58.9,30.9,20.7,0.0,11.4,10.2,179,6
2024-06-28,47.1,80.9,54.6,29.3,19.1,0.5,12.7,10.2,180,6
2024-06-29,41.9,73.1,49.7,27.5,17.6,1.3,14.2,9.899999999999999,181,6
2024-06-30,54.1,89.2,60.3,31.1,20.8,0.0,10.3,10.3,182,6
2024-07-01,49.9,84.6,58.1,30.3,20.0,0.0,12.0,10.3,183,7
2024-07-02,44.2,75.5,52.0,28.0,18.0,0.0,13.8,10.0,184,7
2024-07-03,52.8,87.5,59.2,31.0,20.6,0.0,10.6,10.399999999999999,185,7
2024-07-04,48.4,82.3,56.3,29.9,19.6,0.3,12.2,10.299999999999997,186,7
2024-07-05,42.7,73.4,50.3,27.3,17.4,1.7,14.3,9.900000000000002,187,7
2024-07-06,55.7,92.6,61.8,31.6,21.4,0.0,9.9,10.200000000000003,188,7
2024-07-07,50.6,85.8,58.7,30.8,20.5,0.0,11.2,10.3,189,7
2024-07-08,45.9,79.2,53.5,28.8,18.6,0.0,13.3,10.2,190,7
2024-07-09,52.1,87.0,59.0,31.1,20.8,0.0,10.7,10.3,191,7
2024-07-10,47.5,81.1,55.0,29.5,19.3,0.6,12.5,10.2,192,7
2024-07-11,41.4,71.6,48.8,27.0,17.1,2.2,14.7,9.899999999999999,193,7
2024-07-12,54.3,89.9,60.6,31.3,21.1,0.0,10.1,10.2,194,7
2024-07-13,49.3,83.9,57.3,30.2,19.9,0.1,12.2,10.3,195,7
2024-07-14,44.0,76.3,52.7,28.6,18.6,0.0,13.1,10.0,196,7
2024-07-15,51.7,86.1,58.8,30.8,20.5,0.0,11.3,10.3,197,7
2024-07-16,47.8,81.5,55.8,29.6,19.4,0.4,12.3,10.200000000000003,198,7
2024-07-17,43.1,74.8,51.5,28.3,18.4,0.0,13.6,9.900000000000002,199,7
2024-07-18,51.2,86.5,58.6,30.7,20.6,0.0,11.6,10.099999999999998,200,7
2024-07-19,46.6,80.3,54.3,29.2,19.1,0.8,12.6,10.099999999999998,201,7
2024-07-20,41.0,72.2,48.5,26.9,16.9,1.9,14.8,10.0,202,7
2024-07-21,54.9,91.0,61.2,31.4,21.2,0.0,10.0,10.2,203,7
2024-07-22,50.8,86.4,59.0,30.9,20.6,0.0,11.4,10.299999999999997,204,7
2024-07-23,46.3,79.9,54.2,29.1,18.9,0.0,13.0,10.200000000000003,205,7
2024-07-24,52.9,89.3,60.1,31.3,21.0,0.0,10.5,10.3,206,7
2024-07-25,48.6,83.2,56.6,30.1,19.8,0.2,12.4,10.3,207,7
2024-07-26,44.1,77.1,53.0,28.5,18.6,0.0,13.2,9.899999999999999,208,7
2024-07-27,51.4,87.2,59.1,31.0,20.7,0.0,11.5,10.3,209,7
